Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Quarter,DayOfWeek,Week,Daily_Return,Cumulative_Return,Price_Change,Up_Down,SMA_20,SMA_50,EMA_20,BB_Mid,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist,Volume_MA
2025-07-24,3255.0,3286.5,3243.699951171875,3260.89990234375,1469406,0.0,0.0,2025,July,Q3,Thursday,30,-0.24168338125200028,116.68375575277001,5.89990234375,Up,3175.3079223632812,3098.287568359375,3179.1911730339007,3175.3079223632812,3280.1800774448398,3070.4357672817227,64.56478312152365,44.08282681049377,35.717481425421184,8.365345385072587,2174008.45
2025-07-25,3256.0,3259.0,3214.0,3246.39990234375,1475856,0.0,0.0,2025,July,Q3,Friday,30,-0.4446625297997664,116.16490681257436,-9.60009765625,Down,3178.7394409179688,3101.00337890625,3185.5920043967435,3178.7394409179688,3288.3356433462204,3069.143238489717,62.314252969615715,44.02239390486284,37.37846392130952,6.6439299835533205,1992880.95
2025-07-28,3246.39990234375,3256.89990234375,3199.199951171875,3209.800048828125,1939520,0.0,0.0,2025,July,Q3,Monday,31,-1.1273981831135926,114.8552657637538,-36.599853515625,Down,3181.3379516601562,3103.1379833984374,3187.8975324378275,3181.3379516601562,3291.3104942398804,3071.365409080432,56.75254670143797,40.55372004986202,38.01351514702002,2.5402049028419995,1985678.35
2025-07-29,3203.0,3225.89990234375,3186.60009765625,3199.39990234375,1824673,0.0,0.0,2025,July,Q3,Tuesday,31,-0.3240122850696525,114.48312059262985,-3.60009765625,Down,3183.7686279296877,3106.344306640625,3188.9929962383912,3183.7686279296877,3293.0446976168078,3074.4925582425676,53.069335708775625,36.544306112861705,37.71967334018836,-1.175367227326653,2006558.3
2025-07-30,3195.0,3241.60009765625,3151.89990234375,3208.89990234375,2199654,0.0,0.0,2025,July,Q3,Wednesday,31,0.2969306835647778,114.82305610517183,13.89990234375,Up,3187.2149658203125,3109.200966796875,3190.8888920579493,3187.2149658203125,3295.0129971178326,3079.4169345227924,56.251673992847124,33.74440281620491,36.92461923539167,-3.180216419186756,2038575.55
2025-07-31,3225.0,3238.199951171875,3135.60009765625,3203.10009765625,4465859,0.0,0.0,2025,July,Q3,Thursday,31,-0.180741215494562,114.61552351789935,-21.89990234375,Down,3189.9149780273438,3113.616171875,3192.0518640196924,3189.9149780273438,3296.390325487173,3083.4396305675145,72.51300460270272,30.70353230596129,35.68040184950559,-4.9768695435443036,2156728.2
2025-08-01,3205.0,3205.0,3116.699951171875,3159.300048828125,3781457,0.0,0.0,2025,August,Q3,Friday,31,-1.36742678944608,113.04824014445171,-45.699951171875,Down,3189.75498046875,3117.0283984375,3188.9326435252574,3189.75498046875,3296.413243468948,3083.096717468552,60.72111036413082,24.4771651073047,33.439754501065416,-8.962589393760716,2297400.75
2025-08-04,3170.0,3223.0,3160.0,3200.199951171875,2684012,0.0,0.0,2025,August,Q3,Monday,32,1.2945874627805942,114.51174848825589,30.199951171875,Up,3191.75498046875,3119.919384765625,3190.0057204439827,3191.75498046875,3297.576604684908,3085.933356252592,61.26492172981826,22.582685408061025,31.26834068246454,-8.685655274403516,2388928.4
2025-08-05,3195.0,3222.0,3170.10009765625,3212.199951171875,1805644,0.0,0.0,2025,August,Q3,Tuesday,32,0.37497656968608073,114.94114071462471,17.199951171875,Up,3194.4699829101564,3123.8519287109375,3192.119456703782,3194.4699829101564,3299.4170196455916,3089.5229461747213,52.99731622578754,21.798318858418952,29.374336317655427,-7.576017459236475,2403554.15
2025-08-06,3212.199951171875,3240.10009765625,3178.60009765625,3227.5,1866321,0.0,0.0,2025,August,Q3,Wednesday,32,0.4763105989881833,115.48861755044639,15.300048828125,Up,3197.02998046875,3128.923779296875,3195.4890322558026,3197.02998046875,3302.6067883708315,3091.453172566669,55.89408360105839,22.155889486915385,27.93064695150742,-5.774757464592035,2434587.15
2025-08-07,3198.0,3229.60009765625,3161.10009765625,3211.10009765625,2374621,0.0,0.0,2025,August,Q3,Thursday,32,-0.5081302042989955,114.90178500214523,13.10009765625,Up,3199.464990234375,3133.445419921875,3196.9758003891784,3199.464990234375,3303.9192982282925,3095.0106822404573,53.229740123057,20.87529432812289,26.519576426830515,-5.644282098707624,2468249.0
